round_id,hand_number,player_cards,dealer_cards,actions,bet_amount,final_result,blackjack,busted,strategy_used,bet_mode,true_count_prev_round,running_count_end,true_count_end,cards_remaining,decks_remaining
577,1,"7,10,A,Q","9,Q","hit,hit",10.0,lose,False,True,random-dfs,fixed,0.394,-4.0,-0.013,128,2.462
578,1,"A,Q","K,9",stand,10.0,win,True,False,random-dfs,fixed,-0.406,-3.0,-0.01,124,2.385
579,1,"5,K","4,6,6,K",stand,10.0,win,False,False,random-dfs,fixed,-1.677,2.0,0.006,120,2.308
579,1,"5,K,6","4,6,K","hit,stand",10.0,win,False,False,random-dfs,fixed,-1.677,2.0,0.006,120,2.308
579,1,"5,K,6","4,6,K","double,stand",20.0,win,False,False,random-dfs,fixed,-1.677,2.0,0.006,120,2.308
580,1,"6,K","5,4,10",stand,10.0,lose,False,False,random-dfs,fixed,-0.867,1.0,0.003,116,2.231
580,1,"6,K,10","5,4,K",hit,10.0,lose,False,True,random-dfs,fixed,-0.867,0.0,0.0,116,2.231
580,1,"6,K,10","5,4,K","double,stand",20.0,lose,False,True,random-dfs,fixed,-0.867,0.0,0.0,116,2.231
581,1,"10,K,3","2,8,6,8",hit,10.0,lose,False,True,random-dfs,fixed,0.0,1.0,0.003,112,2.154
581,1,"10,K","2,8,3,6",stand,10.0,win,False,False,random-dfs,fixed,0.0,1.0,0.003,112,2.154
581,1,"10,K,3","2,8,6,8","double,stand",20.0,lose,False,True,random-dfs,fixed,0.0,1.0,0.003,112,2.154
582,1,"3,6,7,10","8,6,2,K","hit,hit",10.0,lose,False,True,random-dfs,fixed,-0.464,2.0,0.006,108,2.077
582,1,"3,6,7","8,6,10","hit,stand",10.0,win,False,False,random-dfs,fixed,-0.464,2.0,0.006,108,2.077
582,1,"3,6","8,6,7",stand,10.0,lose,False,False,random-dfs,fixed,-0.464,3.0,0.01,108,2.077
582,1,"3,6,7","8,6,10","double,stand",20.0,win,False,False,random-dfs,fixed,-0.464,2.0,0.006,108,2.077
583,1,"7,10","2,K,10",stand,10.0,win,False,False,random-dfs,fixed,0.963,-2.0,-0.006,104,2.0
583,1,"7,10,10","2,K,Q","double,stand",20.0,lose,False,True,random-dfs,fixed,0.963,-3.0,-0.01,104,2.0
583,1,"7,10,10","2,K,Q",hit,10.0,lose,False,True,random-dfs,fixed,0.963,-3.0,-0.01,104,2.0
584,1,"10,Q,J","2,8,4,2,J","double,stand",20.0,lose,False,True,random-dfs,fixed,0.5,-1.0,-0.003,100,1.923
584,1,"10,Q,J","2,8,4,2,J",hit,10.0,lose,False,True,random-dfs,fixed,0.5,-1.0,-0.003,100,1.923
584,1,"10,Q","2,8,J",stand,10.0,push,False,False,random-dfs,fixed,0.5,-2.0,-0.006,100,1.923
585,1,"J,4","2,J,3,8",stand,10.0,win,False,False,random-dfs,fixed,0.0,1.0,0.003,96,1.846
585,1,"J,4,3","2,J,8","double,stand",20.0,lose,False,False,random-dfs,fixed,0.0,1.0,0.003,96,1.846
585,1,"J,4,3","2,J,8","hit,stand",10.0,lose,False,False,random-dfs,fixed,0.0,1.0,0.003,96,1.846
585,1,"J,4,3,8","2,J,9","hit,hit",10.0,lose,False,True,random-dfs,fixed,0.0,1.0,0.003,96,1.846
586,1,"3,8,4,A","9,3,10","hit,hit,stand",10.0,win,False,False,random-dfs,fixed,0.0,1.0,0.003,92,1.769
586,1,"3,8,4,A,10","9,3,4,5","hit,hit,hit",10.0,lose,False,True,random-dfs,fixed,0.0,3.0,0.01,92,1.769
586,1,"3,8,4","9,3,A,10","hit,stand",10.0,win,False,False,random-dfs,fixed,0.0,1.0,0.003,92,1.769
586,1,"3,8,4","9,3,A,10","double,stand",20.0,win,False,False,random-dfs,fixed,0.0,1.0,0.003,92,1.769
586,1,"3,8","9,3,4,A",stand,10.0,lose,False,False,random-dfs,fixed,0.0,2.0,0.006,92,1.769
587,1,"4,A,5","10,4,9","double,stand",20.0,win,False,False,random-dfs,fixed,1.13,1.0,0.003,88,1.692
587,1,"4,A,5","10,4,9","hit,stand",10.0,win,False,False,random-dfs,fixed,1.13,1.0,0.003,88,1.692
587,1,"4,A,5,9","10,4,6","hit,hit,stand",10.0,lose,False,False,random-dfs,fixed,1.13,2.0,0.006,88,1.692
587,1,"4,A,5,9,6","10,4,Q","hit,hit,hit",10.0,lose,False,True,random-dfs,fixed,1.13,1.0,0.003,88,1.692
587,1,"4,A","10,4,5",stand,10.0,lose,False,False,random-dfs,fixed,1.13,1.0,0.003,88,1.692
588,1,"5,9,5","6,Q,Q","hit,stand",10.0,win,False,False,random-dfs,fixed,1.182,1.0,0.003,84,1.615
588,1,"5,9,5,Q","6,Q,3","hit,hit",10.0,lose,False,True,random-dfs,fixed,1.182,2.0,0.006,84,1.615
588,1,"5,9","6,Q,5",stand,10.0,lose,False,False,random-dfs,fixed,1.182,2.0,0.006,84,1.615
